"Hotelid","userid","reviewtext","Date","NoOfReaders","HelpfulToNoOfreaders","Value_rating","Rooms_rating","Location_rating","Cleanliness_rating","Checkin_rating","Service_rating","Businessservice_rating","AverageOverallRatingOfHotel","AveragePricing"
"hotel_104","hotel_4342","Awesome Everything about this resort was great. My wife and I had such a wonderful time that we are already looking for flights to go back. The resort is spectacular! The staff is extremely friendly and they were all very helpful. Everywhere we went the folks were really nice, either the bar, the beach, the front desk, room service or house cleaning. It's a really great place for couples because of the location of the hotel, which is in south Puerto Rico, far far away from the hectic hustle and bustle of San Juan. And because it's so far away from the high-traffic, high-pollution San Juan, the weather is much better than San Juan. We landed in San Juan and it was raining. Then we went on a one-day trip to San Juan and it was raining. Then on the flight back, it was raining again in San Juan. We stayed in Ponce 6 days and it DID NOT rain even once. The closest it got was a bit overcast in the evening one night. The breakfast is awesome! The other two restaurants at the resort are awesome! We had so much fun that we didn't even go to the Casino. We highly recommend this resort for anyone looking for a romantic getaway or with a family with kids.","Jan 5, 2009","0","0",6,6,6,6,6,6,6,"4","$227"
"hotel_104","hotel_2024","Convenient  When I say Above Average I'm comparing to sparse alternative offerings in the Ponce area (and being an avid golfer, this place having no competition in the south central portion to the island). The resort was easy to get to and conveniently located, but it (in the greater worldwide scheme of things) wasn't anything close to special. Furthermore (aside from the outstanding 27 hole on site golf course), it was not redeeming other than it was situated on the ocean (to be more precise, the Carribean Sea) and had two separate pool and beach areas (one moderate size family pool with large beach area at hotel, and another dazzling adult pool with small beach area at the golf course clubhouse complex). We ate out in town, but availed ourselves to the bar lounge area (good, but expensive mixed drinks and beer) and to the casino (okay, but not exciting and no Vegas - or Mesquite, for that matter). The rooms were clean and all have a view toward the ocean overlooking the gardened grounds, but it was not spacious or memorable. At this low season stay, we still had to pay a AAA rate of $160 and pony up an extra $8 parking fee (for the priviledge of parking in one of several hundred unsused spaces in a cavernous parking lot) as well as a $11+ resort fee (were told to pay for groundskeeping costs). All in all, this single night stay (and playing the full 27 holes of golf) was fine and dandy, but it doesn't beckon to me to pay a return visit.","Nov 10, 2008","0","0",4,4,6,5,4,5,1,"4","$227"
"hotel_104","hotel_8720","Nice with its quirks       Beach looking west","Nov 3, 2008","0","0",3,4,4,5,6,4,4,"4","$227"
"hotel_104","hotel_3267","Always a 5 star stay! Its always a good trip when you stay at the Ponce Hilton in Ponce Puerto Rico. I just spent 4 days and 3 nights at this facility and as usual I found it clean, the staff extremely friendly, and there was nothing you could need that was not available. Granted this is a 5 star resort, so if your looking for a bare bones cheap stay this is not the place. But if you want to be catered to, have the staff not only know who you are but be able to address you by name. If you want every possible type of food in what ever amount you want at a moments notice. If you want immediate access to 5 restaurants and 7 bars, a business center and an executive lounge. If you want full service spa's, training areas, casinos, night clubs, etc. then this is the place for you! If this sound like your kind of place the run, don't walk to the Costa Caribe Ponce Hilton.","Sep 30, 2008","0","0",6,6,6,6,6,6,6,"4","$227"
"hotel_104","hotel_5419","Loved It! The hotel is beautiful with spectacular views. Staff are friendly and kind. I've seen remarks written about the double beds and it is true. Double beds not much larger than a single. Our room was right off the pool and feet from the beach. Retrieving the car was simple and quick. The breakfast was great. I would definitely come back. The only major thing we had a problem with but through no fault of the hotel was the putrid smell from the Don Q rum factory. It's enough to make you upchuck. Other than that - GREAT TIME. Check in/Check out - 123.","Aug 29, 2008","3","2",6,4,6,6,6,6,6,"4","$227"
"hotel_104","hotel_1141","Executive Tower the Best Bet This hotel is the best in town. And the best deal is to be upgraded to the Executive Tower -- which gives you access to the lounge with (2) computers (free) to check email, continental breakfasts, afternoon snacks, cold drinks, tea/coffee, and at 5:30 pm small sandwiches and crudites, at 7:30 desert and liquers. In the evening, the honor bar is quite reasonable -- $5 for a glass of wine. You could make some of your meals here from the snacks and certainly save on expensive sodas, etc etc. Plus the concierge person manning the desk there can assist with tourist info, restaurants, etc. etc. The hotel isn't perfect -- it took 2 days to find out about the valet parking set up -- we were stopping at the desk each time to get our ticket stamped. Nothing was actually every explained to us about their faciities or various options. We had to explore and learn on our own. And if you are with a family -- keep in mind that their double beds are barely larger than a single; okay for very small kids only.That being said -- the main pool is the one for families and children. If you are an older (or romantic) couple and wish a bit less noise, you can take the shuttle (from the front of the hotel) to the country club and use their hot tub and pool. They will ask you to register at the hut where you get your towels (and you're given a wrist band to wear) but during the day the place is so much calmer. At either location there is a very small black sand beach...nothing to write home about ; it might entertain you for a very short walk to find some shells or old pieces of polished glass but not to sit on (although there are a few chairs at each). Keep in mind that it takes about 15 to 20 minutes for the shuttle to ever show up -- there's no set schedule.We only ate a couple meals at the hotel -- one lunch at the pool bar -- decent. Had the chicken fingers which came with fries (only $12) from the appetizer list. Sodas were around $3 each. The other meal we had was at the Sushi restaurant (not open everyday) at the country club part. This was just okay. A bit disappointing with limited selections but good for a change from fried foods and mofongos..and yes, expensive for the portions served. For kids -- there is the pool as mentioned, a playground area near the beach, and a small arcade area inside that was kept quite busy. For adults -- there is entertainment advertised on the weekends. Wasn't there then so no idea whether this is worth it or not. The casino is small but decent. Had variety of slots/machines and games. Wasn't very crowded or busy when we were there.The fitness room -- is decently equipped. Has the usual machines and is conveniently located near the main pool. You must be 18 to use machines.They have a spa/sauna == saw their signs but never had a chance to investigate.Did the two hour city tour (only one now available); you can drive up to see several other sites (may be next time) but didn't have the car at the time. Cab from downtown only cost $10 plus tip to Hilton. People at hotel basically quite friendly and helpful. Material distributed not always up to date, however, so do call (or have them call for you).Directions -- As in all of Puerto Rico, directions are horrible and not very accurate (even the Garmin GPS was off). You will be told go right and it's a left and vice versa. Allow yourself time to get anywhere you are going if this is the first time you're there. Many streets are not marked (signs are down or names change as you drive) plus there is a lot of construction on Rte 2 heading west towards Mayaguez (if going to Pitos restaurant -- recommended by the way)","Jul 28, 2008","5","5",4,4,3,5,3,5,6,"4","$227"
"hotel_104","hotel_6172","Wonderful Hotel!!! This hotel was great! The room was immaculate, the sheets  bedspreads (which I'm very picky about) were plush, soft, super clean, no complaints about that. The room itself, when I first walked in, smelled deodorized  properly kept.The pool area was beautiful, the terrace with the colossal columns  dangling lights contributes to a feel of tropical elegance. Gym was OK, but would like them to add more treadmills. But the crown of our stay was the Rest La Cava. As soon as we walked in, the services just outstanding. The waiter  host were professional and proper, yet friendly. They were about to close the restaurant, but decided to cater to us regardless. We contemplated the bottles of wines (and the price tags) of wines from all over the world. The food was fresh, and elegantly served. The souffle for dessert, I still crave to this day its delicious grand manier flavor. Would definitely go back! My husband, my boys (teenagers) really enjoyed the stay and would definitely go back.","Jul 28, 2008","2","2",6,6,6,6,6,6,1,"4","$227"
"hotel_104","hotel_8279","A great resort destination! I loved my two-week stay here! Great breakfasts, lunches and dinners. Everything is open, and walking around the hotel at midnight is commonplace. It is an open community, with an excellent swimming pool, comfortable rooms, and a great location! The price could be hefty, but if you are on vacation, splurging (moderately) is not a big big issue! Enjoy your stay.","Jul 26, 2008","3","2",5,6,6,6,6,6,6,"4","$227"
"hotel_104","hotel_3527","Just Great       View from my room","Jul 25, 2008","1","1",6,6,6,6,6,6,6,"4","$227"
"hotel_104","hotel_6230","Best Pina Coladas in all of Puerto Rico The one thing about this hotel is...Best Pina Coladas in all of Puerto Rico. The bartenders (yes all of them) at the sports bar by the pool have a serious bad attitude but they can make a awesome Pina Colada. The resort could use a remodel. It is dated. The staff at the front desk is friendly. The rooms are okay, definitely not U.S. standards for cleanliness. The fine dining restaurant is expensive but very romantic and has good food. There is nothing in Ponce to do. We went to the boardwalk marina area but it was boring. No shops or restaurants. Just a bunch of bars that were the size of a tool shed. I would not go back to this resort.","Jul 25, 2008","2","0",4,3,4,4,6,6,4,"4","$227"
"hotel_104","hotel_7770","Relaxing stay, best breakfast!       View from the room's balcony","Jul 24, 2008","1","1",1,1,1,1,1,1,1,"4","$227"
"hotel_104","hotel_5188","crappy hotel This hotel was not so good on almost all levels. The buffet at terraza was just thawed, pre frozen food....not fresh. Yuck. The service: horrible. I had reserved the suite suitable for 6 people and then gave my room to someone else then gave me (without asking me first) a room suitable for 2 people. When i came back to the desk to explain it took almost 2 hours to correct the problem, which they said was now 3 rooms in the executive tower. But they didn't mention that one room had a murphy bed with no blankets! ahh. The beach here is almost not swim worthy. It is black sand and covered in rocks. The pool is WAY overcrowded. Basically, if you want to stay in a hilton, stay at Hilton Caribe in San Juan. EVERYTHING is better there.","Jul 23, 2008","2","2",3,2,2,6,2,2,6,"4","$227"
"hotel_104","hotel_10553","Loved the Hilton Ponce!       Room","Jul 8, 2008","0","0",6,6,6,6,6,6,1,"4","$227"
"hotel_104","hotel_3194","Excellent Staff, Nice Hotel, Not Activities Destination My husband and I booked this trip as a graduation present for my nephew. We selected Ponce, due to its location on the Caribbean side of Puerto Rico. Overall, the hotel was clean, the staff was extremely accommodating, and we enjoyed our 6 day stay. It wasn't perfect in all respects, but setting proper expectations for the ages and interests of those in your travel party could help when deciding on this property. Below is a recap of our experiences.Staff- Excellent. Upon arrival, we were given a standard room in the Executive Tower. (2 double beds and a single person sofa bed -all in one room) for my husband and me and two 18 year olds teens. We booked a two room suite, so this was unacceptable. After much hard work from Rose Maria Alvarez, the hotel day supervisor, she rectified our situation and we were given side by side rooms. Kudos to her for recognizing the importance of honoring reservations, providing good customer service, and maintaining the loyalty of a Gold Hilton Honors member. We were also impressed by the valet staff that drove us to the Golf club each day, and the activities staff member at the club who helped us push our kayaks (and assist my nephew in getting back in).Food and Accommodation - Stay in the executive tower if you can. It is newer, and you have access to the Executive lounge. A continental breakfast was free each day, and they also had free drinks while you were in the lounge (sodas, waters, juices, etc.) The food at the hotel is average at best. Bar food at the pools, or two buffets (one at the hotel and one at the golf club). For lunch, the buffets are $22. We purchased a buffet discount coupon booklet that provided 10 lunch buffets @ $13 a piece. We would check out the items on the hotel buffet first and then decide if we wanted to ride over to the Golf Club buffet for another option. In general, the food and the view are better at the Golf club. RENT A CAR! We did, and ate dinner out near the mall in Ponce each night. It is about 5 miles away, but you'll want to leave the property as there is nothing else to do around the hotel. While there is a mini mart and gift shop on the property, we bought snacks, soda and water at a store near the mall. The rooms had refrigerators, and with sodas at $2.25 a pop at the hotel, you'll save some money.Activities - My husband and I planned to dive using a shop in Ponce and a shop in Guanica. Unfortunately, not enough divers for EITHER shop to go out, so no diving for us the entire week. This was extremely disappointing and bizarre for the Caribbean. My husband played golf at the resort on 2 days. I spent most of my time at the Golf club pool and beach, which is much nicer and quieter than the hotel pool and beach. Despite being on the Caribbean side of PR, the water is not crystal blue as you would typically expect if you've been to other Caribbean destinations. Sand is brown/gray. Not great, but ok. We also used the fitness center which has old equipment, but has everything you need from machines to free weights. In short, this was a relaxing break from work, but not the dive trip we had hoped for.The 18 year olds in our party struggled a bit. While there was tennis, basketball, table tennis, and the pools, they became somewhat bored after a few days. There are no planned activities (like volleyball games and other activities that you typically find at beach resorts). There seemed to be a lot of locals there that were part of a summer club and weren't too accepting of the guests. With nothing around the hotel to do either, they relaxed a lot. :)Despite this, we are not too hard to please and enjoyed the time away. I hope this information helps those reading to determine if this is the best setting for you. At the end of the day, the hotel was clean, offered good amenities, and is the right choice for those wanting to simply get away and relax.","Jun 14, 2008","2","2",4,5,4,6,5,6,6,"4","$227"
"hotel_104","hotel_1508","Only good thing was golf. The hotel only has one pool that was extremely overcrowded with people, the other pool was in the golf club which is about a 5 minute drive, I would recommend the golf course, it was beautiful. But the actual hotel looked like it hadn't been renovated since the 80's,  it was not very clean, our room smelled like a bad car freshner, we didn't even have a duvet cover on our bed there were just two sheets wrapped around the dirty comforter, the food was just OK, I guess I just expect more when you are paying 250 a night.","May 9, 2008","0","0",3,3,5,2,2,3,1,"4","$227"
"hotel_104","hotel_1686","I was impressed       Playground","Apr 1, 2008","0","0",6,6,5,6,6,6,5,"4","$227"
"hotel_104","hotel_9697","Wonderful and Quiet Hotel! We stayed at the Ponce Hilton for six nights. The hotel was easy to get to from the San Juan airport. The hotel staff was very friendly. The room was very large and clean. The king size bed was very comfortable. I would recommend staying in the Executive Towers because you have access to a continental breakfast and the Internet in the executive lounge. I highly recommend eating at Sancho's Sushi at the hotel. They have the best sushi and the service was awesome! Definitely rent a car when staying in Puerto Rico. There are so many beautiful beaches around the country within several miles. There are tolls on some of the roads so make sure you have quarters. Driving is simple as long as you stay on the main highways. Once you start getting off the main highways the roads are very narrow and scary. Puerto Rico is a beautiful country.","Mar 19, 2008","0","0",6,5,5,5,5,5,5,"4","$227"
"hotel_104","hotel_1997","Hotel in Ponce The pool in this hotel is great. My room was clean, the bed comfortable and the restaurant was great. I wish my wife had the time to take off and share that experience.","Feb 10, 2008","0","0",1,6,6,6,6,6,1,"4","$227"
"hotel_104","hotel_7852","Had a Fabulous time We had a great time at this resort. There is so much to do at the resort that we only went into town twice. Once to see the historic square and once for dinner. We had an ocean view room on the third floor of one of the executive towers. The day we checked in, the hotel was so uncrowded that we wonder how the stay open. We are glad they do. Our room was large and spotlessly clean. The view from our balcony of the ocean was as good as any I've seen anywhere. We were on a golf package and played the Caribe Country Club for three days. If you think the hotel is uncrowded, you should see the golf course. One day we started at 9:00 a.m. and we were the only two people on the course for the first hour. The course are in very nice condition and enjoyable to play. The only drawbacks to this property are the pool, which is basically a kiddies pool and the price of the food. Portions are plentiful (too large actually) and the quality is good but the prics are a bit high. Fortunately, it is a short cab ride or drive into town to get some excellent seafood at more reasonable prices. Bottom line is we enjoyed ourselves so much, we are considering a week at this resort in the future.","Jan 29, 2008","1","1",5,5,5,6,6,6,1,"4","$227"
"hotel_104","hotel_9353","Lovely stay We stayed here at the end of December 2007 for one night. The hotel has lovely gardens with fish, ducks, and turtles -- great for entertaining the kiddo. The pool is small but nice, and is saltwater. Because we were here for one night only, we didn't have time to enjoy a lot of the other amenities the hotel offers. If you're not into gambling, don't let the casino scare you. We didn't even know where it was until we were checking out. Unlike Las Vegas, the casino is behind double doors with a small sign, so it's easy to avoid. Our only complaint was that the hair dryer in the bathroom didn't work well, but it wasn't a big deal. Just a warning when traveling to Ponce -- nothing about the hotel here, but it is a buggy place. This was our second trip to the town (first to the Hilton) and both times, the bugs ate us up. Take lots of bug spray.","Jan 4, 2008","3","3",4,5,4,5,5,5,1,"4","$227"
"hotel_104","hotel_9738","Great weekend away My boyfriend and I traveled to Puerto Rico to visit his parents but we wanted to get away for the weekend. This was the only place we could find with availability (even a month in advance). We were pleasantly surprised. The lobby was large and clean and the front desk personnel were helpful and friendly. We thought the room was modern and clean, and had a small fridge. Our room was ocean/pool view on the first level and we loved being able to walk right out to the beach. The hotel hosted a corporate family day on our last day and set up a huge tent almost right in front of our room. The crew was noisy constructing the tents, so we contacted the front desk and they offered a different room with a worse view, so we stayed. The pool was very small but clean with lots of kids around. We appreciated that the hottub stayed open all night. The sports bar by the pool served good (strong) drinks and good bar-type food. The lobby bar could be loud at night with the entertainment, The beach was windy and the sand was gray -- not overly exciting. We took the free shuttle over to the Costa Caribe Golf Resort pool one day -- they had a much larger and prettier pool, better chairs with umbrellas, decent beach, better poolside bar and slightly larger food menu, and a fabulous view of the golf course and mountains. It's worth it to go use that pool. Overall, we had a great weekend and were comfortable. It's a typical nice large resort. Staff was nice and the hotel was clean. We would go back there again!","Jan 3, 2008","2","2",4,5,5,6,5,5,1,"4","$227"
