Reviewid,Sentiment
Review_11001,good
Review_11002,bad
Review_11003,bad
Review_11004,good
Review_11005,good
Review_11006,excellent
Review_11007,good
Review_11008,good
Review_11009,good
Review_11010,excellent
Review_11011,good
Review_11012,good
Review_11013,good
Review_11014,good
Review_11015,excellent
Review_11016,good
Review_11017,excellent
Review_11018,excellent
Review_11019,good
Review_11020,excellent
Review_11021,good
Review_11022,good
Review_11023,excellent
Review_11024,good
Review_11025,excellent
Review_11026,good
Review_11027,good
Review_11028,good
Review_11029,excellent
Review_11030,good
Review_11031,excellent
Review_11032,excellent
Review_11033,good
Review_11034,good
Review_11035,bad
Review_11036,good
Review_11037,excellent
Review_11038,bad
Review_11039,excellent
Review_11040,good
Review_11041,good
Review_11042,excellent
Review_11043,excellent
Review_11044,good
Review_11045,good
Review_11046,bad
Review_11047,good
Review_11048,good
Review_11049,good
Review_11050,excellent
Review_11051,good
Review_11052,excellent
Review_11053,excellent
Review_11054,excellent
Review_11055,good
Review_11056,excellent
Review_11057,bad
Review_11058,excellent
Review_11059,excellent
Review_11060,bad
Review_11061,excellent
Review_11062,excellent
Review_11063,excellent
Review_11064,good
Review_11065,good
Review_11066,good
Review_11067,excellent
Review_11068,good
Review_11069,excellent
Review_11070,excellent
Review_11071,excellent
Review_11072,good
Review_11073,good
Review_11074,bad
Review_11075,good
Review_11076,good
Review_11077,good
Review_11078,excellent
Review_11079,good
Review_11080,bad
Review_11081,excellent
Review_11082,good
Review_11083,good
Review_11084,good
Review_11085,good
Review_11086,excellent
Review_11087,excellent
Review_11088,good
Review_11089,excellent
Review_11090,good
Review_11091,good
Review_11092,good
Review_11093,excellent
Review_11094,good
Review_11095,excellent
Review_11096,excellent
Review_11097,excellent
Review_11098,excellent
Review_11099,excellent
Review_11100,good
Review_11101,excellent
Review_11102,bad
Review_11103,excellent
Review_11104,good
Review_11105,excellent
Review_11106,excellent
Review_11107,good
Review_11108,excellent
Review_11109,bad
Review_11110,good
Review_11111,excellent
Review_11112,good
Review_11113,excellent
Review_11114,bad
Review_11115,excellent
Review_11116,bad
Review_11117,bad
Review_11118,bad
Review_11119,good
Review_11120,excellent
Review_11121,good
Review_11122,good
Review_11123,good
Review_11124,good
Review_11125,good
Review_11126,bad
Review_11127,good
Review_11128,bad
Review_11129,good
Review_11130,good
Review_11131,good
Review_11132,good
Review_11133,excellent
Review_11134,bad
Review_11135,excellent
Review_11136,good
Review_11137,good
Review_11138,good
Review_11139,bad
Review_11140,bad
Review_11141,bad
Review_11142,good
Review_11143,good
Review_11144,excellent
Review_11145,good
Review_11146,good
Review_11147,good
Review_11148,good
Review_11149,good
Review_11150,bad
Review_11151,good
Review_11152,excellent
Review_11153,good
Review_11154,good
Review_11155,good
Review_11156,excellent
Review_11157,good
Review_11158,good
Review_11159,good
Review_11160,bad
Review_11161,good
Review_11162,good
Review_11163,good
Review_11164,bad
Review_11165,bad
Review_11166,bad
Review_11167,bad
Review_11168,bad
Review_11169,bad
Review_11170,bad
Review_11171,bad
Review_11172,good
Review_11173,bad
Review_11174,bad
Review_11175,excellent
Review_11176,good
Review_11177,good
Review_11178,bad
Review_11179,good
Review_11180,bad
Review_11181,excellent
Review_11182,bad
Review_11183,bad
Review_11184,bad
Review_11185,bad
Review_11186,bad
Review_11187,excellent
Review_11188,bad
Review_11189,good
Review_11190,good
Review_11191,bad
Review_11192,good
Review_11193,bad
Review_11194,bad
